ID,Title,Artist,Producer,Writers,Filename,Status,RegisteredDate,Notes
001,Photo Shoot,Mike Page,The Cubist (Tyrell Thornton),Mike Page,track-001.mp3,PENDING,,
002,Trap Get Ugly,Mike Page,The Cubist (Tyrell Thornton),Mike Page,track-002.mp3,PENDING,,
003,Can't Come Down,Mike Page,Splited Stupid,Mike Page,master-almost-done/,PENDING,,ALMOST DONE - needs finishing
004,Pain,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,RELEASED ONLINE
005,Lose Me,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,
006,Come With Me,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,
007,Up There,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,
008,Ask Yourself,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,
009,Genocide,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,
010,Power to the People,Mike Page,The Cubist (Tyrell Thornton),Mike Page,,PENDING,,
011,I Need Her,Mike Page,Jack Thomas & The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
012,We Been Thru It All,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
013,Obvious,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
014,Damn Near 40,Mike Page,Unknown,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - LOOP FREESTYLE
015,Hang On,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill
016,Miss Novella,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
017,Made You Proud,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill
018,She On My Right,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill
019,Mindset,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill
020,Do You Mind,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
021,Bottomline,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
022,Embellishments,Mike Page ft TKP,TKP,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
023,Bob Marley,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE - HIT POTENTIAL - 2ND VERSE OPEN
024,Back N,Vincent Berry & Mike Page,The Cubist,Vincent Berry; Mike Page,,PENDING,,Hip Hop : Smooth_Chill
025,Unconditionally,Mike Page ft You,Unknown,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
026,Hope Yo Soul,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE - FEATURED SONG
027,All 2 U,Mike Page,The Cubist,Mike Page,,PENDING,,Hip Hop : Smooth_Chill - REEL DONE
